Text,Benigne,Cyber Terrorism,Cyber Bullying,Extremism
تفو كس امك حماره,0,0,0.5,0.5
تقول داخله فيها ترله انحولت مع الاغنيه,0,0,1,0
تكالبت عليه الكلاب ولم تسمح له بالبروز بعد البرنامج,0,0,1,0
تليفيزيون المستقبل صار سيء للغايه ما ادري ليش,0,0,0,1
تم تنفيذ الحكم الي في الرد الاول وتم اعدام اول راس والباقي بالطريق,0,1,0,0
تماما اللهم لا تحرمنا الصدق في الكلام,1,0,0,0
تنظرون لا الشام يقتلون بدم بارد,0,0,0,1
توكلت عليك يا الله,1,0,0,0
تويتر صاير ممل,0,0,1,0
تؤلمني باسم الحب,1,0,0,0
تيس مابفهم,0,0,1,0
ثبتك الله يا استاذي ونصرك,1,0,0,0
ثقيلين دم كثير,0,0,1,0
ثكلتك امك,0,0,0,1
جابو المسخره لنفسهم الله لايردهم,0,0,1,0
جامعه العلوم والتكنولوجيا الاردنيه افضل من 92.7% من جامعات العالم و 98.2% من جامعات الوطن العربي طبقا لتصنيف ويب,1,0,0,0
جد اشي بخزي,0,0,1,0
جزاك الله خيرا ياستاذ مصطفى على ماتبثه في انفسنا ربنا يكثر من امثالك,1,0,0,0
جزاك الله كل خير بسمه امل رائعه وشيقه جد,1,0,0,0
جزاك الله كل خير دكتور عمرو ربنا يتقبل منا منكم سائر الاعمال,1,0,0,0
جزمتي الا اقولك اسفل جزمتي الثوره في سوريا ما اشعلها الا الوهابيين اللي هم السلفيين,0,1,0,0
جسمها حلو ترقص عاريه,0,0,1,0
جمال الصفحه من جمالكم رقي اخلاقكم انا متاكد ان صفحتنا ستعجبك فانضم الينا ادعو اصدقائك فنحن نسعد بك بهم,1,0,0,0
جمهور لا يياس الى اخر ثانيه,1,0,0,0
جميل جدا,1,0,0,0
جميله المعاني المجرده التي تنزوي عند التطبيق,1,0,0,0
جميله اوى اوى اوى يارب الكل يحس معنى الكلام ده,1,0,0,0
جهنم وباس المصير,0,0,0,1
جورج وسوف حلب مو طبيعي,1,0,0,0
حالات مرضيه نفسيه مستعصيه لا يستطيع شفائها لا العلم لا الفن,0,0,1,0
حاويه زباله بوجهك,0,0,0,1
حبيبي شرلبوني يموت شرلبونا انا مدريدي? لكن ماني مغير لعيونه,0,0,1,0
حتى بالستايل مقلده الله ياخذ عمره الغبي,0,0,1,0
حتى فى التخلف مش فالحين منيح,0,0,1,0
حتى نعرف نحل مشكله المجاري بعدين منعمل مفاعلات,0,0,0,1
حثاله شباب صايع,0,0,1,0
حثاله على حثاله والحثاله انظف منهم,0,0,1,0
حرام السخريه من الناس,1,0,0,0
حرام تحمل اسم عظيم زي هيك,0,0,1,0
حرام عليك كانو بقره بتولد,0,0,1,0
حرام عليك ماتشوفه شلون يصارخ كانه مشجع في ملعب,1,0,0,0
حرام والله حزنت عليه شو هالموقف الشنع,1,0,0,0
حرف الراء مصيبه ريس,0,0,1,0
حركه ارحمينا الله يشيلك اقول كيف اخوكي وابوكي راضيين عنك اف عندك ايزي,0,0,1,0
حزني كثير والله,1,0,0,0
حسبنا الله ايش صاير لشبابنا الحشيش والمخدرات غزتهم الله يهونها ويحفظ شباب وبنات الاردن,1,0,0,0
حسبنا الله نعم الوكيل في اناس همهم تجويع الشعب,0,0,0,1
حسبنا الله نعم الوكيل فيكم في مجلس النواب الحالي الذي لا يمثل الشعب الاردني فهم غير سائلين عن الشعب يبحثون عن مناصب وزاريه رواتب خياليه بينما المواطن الاردني طفح الكيل معه اصبح لا يطيق الحياه,0,1,0,0
حسبي الله عليكم الله بحاسبكم على كل حد بينفتن بسلبكم الله لا يسامحكم,0,0,0,1
حسبي الله نعم الوكيل في كل ظالم مفتري الله يعين الشعب,0,0,0,1
حسيت كله تمثيل وسخافه غباء,0,0,1,0
حطمت كل احلامي البريئه,1,0,0,0
"حظ من ينعم بمحبه الصغار قبل الكبار ، لان محبتهم صادقه ومن القلب",1,0,0,0
حفظ الله ابناء وبنات الامه جميع,1,0,0,0
حفظ الله وطننا من المنافقين المتاردنين,0,0,0,0
حفظ سور جديده تسميعها فى الصلاه يساعد على التركيز,1,0,0,0
حقا مزبوط صدقت,1,0,0,0
"حقيقه العمل التطوعي ، يساعد في القضاء على اوقات الفراغ ، يمنحك خبرات وتجربه جديده",1,0,0,0
حقيقى لازم نجمد قلبنا عن اى حاجه غلط,1,0,0,0
حكي فاضي,0,0,0,1
حلمي اكون ممثله افلام دعاره ,0,0,0,1
حلمي ان اكون مثل سوشي,1,0,0,0
حلو الشخص يكون عنده هدف يشتغل عليه لكن الدراسه شئ ضروري,1,0,0,0
حلو صديق عمري,1,0,0,0
حلو كلامك عزيزي,1,0,0,0
حلو...نفس العرطه سمعناها قبل 4سنين...طيب تصرف وسوبديلك اشي يرفع اقتصاد البلد,0,0,0,1
حلوه اوى الحمله دي وربنا يارب يكرمك وكل الي بيتبرعو,1,0,0,0
حلوه قوي يا عمرو لو كل واحد تيقن من هذه القصه لن يوجد حاسد لا ظالم لا متواكل اللهم ارزقنا رزقا حلال طيبا اللهم امين,1,0,0,0
حلوه وهي ساكته اذا ابتسم كرهت شكلها,0,0,1,0
حماك الله من النكد,1,0,0,0
حينما ننجح فى الانتصار على انفسنا,1,0,0,0
حيوان وكلب الله يموتك,0,0,1,0
"خبار الموت تهز قلوبنا بعمق وسياتي اليوم الذي تهتز فيه قلوب من حولنا لموتنا ، يارب نسالك حُسن الختام ورضاك عنا",1,0,0,0
خبر عاجل يمنع لجميع المجانين التقدم الى سوبر ستار,0,0,1,0
خبل معوق,0,0,1,0
خت قرار كتير وبرجع تاني بحاول اتغير ومش عرفه,1,0,0,0
خراي على احسن علوي ومحب لهاجحش خربت سوريه ياكلب,0,1,0,0
خرى عليك,0,0,1,0
خساره فيك اسمك :,0,0,1,0
خسئو وخسئ امثالهم ومن طاوعهم,0,0,0,1
خفي علينا يا حجه بلا مانسمع صوتك الناعم ويصيبنا صرع,0,0,1,0
خلتنى اضحك رغم انى مكتئبه جدا,1,0,0,0
خلق الايثار,1,0,0,0
خليه يرفع لكن اللي عنده وطنيه انتماء يصف سيارته بالشارع يروح على الشغل مشي,0,0,0,1
خير الكلام ما قل دل,1,0,0,0
خير صديق في الزمان كتاب,1,0,0,0
دار الزمن وصار الوسط الفني كله نفس ذي العاهات ووضحكو هما علينا,0,0,1,0
دائما تبعث النشاط الحيويه في النفوس مع كل صباح اسعد الله صباحك,1,0,0,0
دخيل عينك يادكتور كلامك ذهب,1,0,0,0
دربي زدني ثقتا بك فانه لايخيب من وثق بك,1,0,0,0
دعاء جميل ماشاء الله,1,0,0,0
دعواتك لنا يا شيخ سلمان بالتوفيق الفلاح الظفر حسن الخاتمه,1,0,0,0
دعوه اخاك بظهر الغيب لا ترد,1,0,0,0
دعوه المؤمن لاخيه بظهر الغيب اسرع من البرق,1,0,0,0
دلوعه حيوانه?,0,0,1,0
دمرني النصاني هودعيك يربي بطني,0,0,1,0
دمك ثقيل,0,0,1,0
ده عمله نادره الاخلاق ملهاش علاقه بالدين,1,0,0,0
دي اخلاق السلف الصالح,1,0,0,0
رائع ولاجمل ?حب ربنا,1,0,0,0
رائعين يا مصريين,1,0,0,0
رب فعل صغير يستعظمه غيرك خاصه ان كنت تمثل الاسلام,1,0,0,0
رب كريم,1,0,0,0
ربك دايما جنبك لو ناديتوا ها تلاقه,1,0,0,0
ربك دايما جنبك لو نديته هتلاقيه,1,0,0,0
"ربما تنام وعشرات الدعوات ترفع لك، من فقير اعنته او جائع اطعمته، او حزين اسعدته اومكروب نفست عنه، فلا تستهن بفعل الخير",1,0,0,0
ربنا اجعلنا من الصالحين اهدنا الي الريق المستقيم,1,0,0,0
ربنا اصلح احوالنا,1,0,0,0
ربنا المستعان ادعولنا ارجوكم,1,0,0,0
ربنا لا تزغ قلوبنا بعد ان هديتنا,1,0,0,0
ربنا يبارك فيه يكون قدوه للجميع المسلمين فى انحاء العالم,1,0,0,0
ربنا يباركلك يا استاذي يعزك,1,0,0,0
ربنا يتوب علينا من المعاصى,1,0,0,0
ربنا يثبته,1,0,0,0
ربنا يحمى الاسلام والمسلمين,1,0,0,0
ربنا يستر واخلاق المتاسلمين لا ترجعه مره اخرى,1,0,0,0
ربنا يسهل,1,0,0,0
ربنا يشفيهم,1,0,0,0
ربنا يصلح احوالنا يا رب ظاهرا باطن,1,0,0,0
ربنا يصلح حالنا جميعا,1,0,0,0
ربنا يعنا علي كل شيء,1,0,0,0
ربنا يعيننا علي نفسنا,1,0,0,0
ربنا يقدرنى ويعفو عنى,1,0,0,0
ربنا يقوي ايمانك,1,0,0,0
ربنا يقويكى على اخد القرار الصح واحسنى الظن بالله وتوكلى عليه وربنا يقويكى على ضعفك يارب ويعدك عن الغلط ده,1,0,0,0
ربنا يقوينا ويقدرنا,1,0,0,0
ربنا يكتر من امثالك يا مصطفى,1,0,0,0
ربنا يكرمك على سعيك وحُبك للمُساعده,1,0,0,0
ربنا يكرمك يا دكتور,1,0,0,0
ربنا يكفينا هذا الشر,1,0,0,0
ربنا يهدينا يهدي بينا امه محمد الغافلين,1,0,0,0
ربنا يهديني ويجعلني من الخاشعين والمسلمين اجمعين,1,0,0,0
ربنا يوفق الجميع علي الخشوع,1,0,0,0
ربنايحفظك ياشيخ,1,0,0,0
ربنايقويك اتشجعي وخوذي قرار وخلي الصحبه الصلحه جنبيك,1,0,0,0
ربى يزيدن ايمان وتقه يارب,1,0,0,0
ربي ارزقني حلو الحياه و جمال الحظ و سعه الرزق و راحه البال,1,0,0,0
ربي اشرح لي صدري و احلل عقده من لساني,1,0,0,0
ربي يكون بالعون ياخي فقد احزنني كلامك,0,0,0,0
ربي ينعم علينا بنعمه الخشوع,1,0,0,0
ربي يهديهن,1,0,0,0
رجعتولنا الفرحه اللي نسيناها,1,0,0,0
رح اجتهد باني اكون حلوه يوم عرسي مش اكون مثل القرده,0,0,1,0
رحمه الله رحمه واسعه واسكنه فسيح جناته .. نعم الدكتور ونعم الداعيه ونعم الاب ونعم الصديق .... مخلص في عمله ... صدوق في دعوته,1,0,0,0
رضيت بالله ربا وبالاسلام دينا وبمحمد صلى الله عليه وسلم نبيا ورسولا,1,0,0,0
رعب وخوف على وجهك ياجبان,0,0,1,0
"رغم انني اول من اثار فضيحه في المناهج المقرره في الاردن طوال عقود مضت ، و عوقبت بالفصل عده مرات من التربيه",0,0,1,0
ركز في الاجابه وقول يارب وخد قرار,1,0,0,0
رهيب حسن تعالى تعالى,1,0,0,0
روح اكتب اشي زي العالم الناس بدل ما انت بتتهبل هيك بتتمسخر يا مسخره,0,0,1,0
روح موت وانتحر,0,0,0,1
روعه الاشياء تبقى روائحها بقى اصحابها ام انصرفوا,1,0,0,0
ريحتك طلعت,0,0,1,0
رئيس مو عارف يحكي حرف الاس روح تخيب ولك يلعنها انيسه على هيك جحش خلفتو,0,1,0,0
زاكى اكيد رهف بكفى انه من مشتقات الحليب,1,0,0,0
زمان المطربيين اللى غنو لهم المعاتيه دول ولعو فى مقابرهم وبيعيطو بدل الدموع دم على تراثهم اللى راح,1,0,0,0
زنخه زيك,0,0,1,0
زهايمر وخرف وحبتين كبتاجون,0,0,0,1
سابقى رائعا معك الى النهايه ان بقيتي رائعه معي الى النهايه,1,0,0,0
ساترك حبك ليس كرها فيك ولكن لكثره الشركاء فيه,1,0,0,0
ساعات اللى فى السر هو اللى بيخلى الناس تحبك فى العلن من غير ما يكونوا عارفين الا انهم بيحبوك من غير سبب,1,0,0,0
"ساعد نفسك بنفسك حتى تجد الطريق المناسب الذي تريده، اكتشف قدراتك واستغل مواهبك ولا تترك نفسك لحيث تاخذك الرياح فينتهي العمر قبل ان تحقق حلمك!",1,0,0,0
سافل و غشاش,0,0,1,0
سالت اصحابي ف هذا المجال و حكولي غير هيك.الموضوع مكلف. الكل باكد انه الحل لوضع الاردن الحرج هو طاقه نوويه,1,0,0,0
سبحان الله اللهم ارزقنا الطمانينه اليقين,1,0,0,0
سبحان الله ان الله يرزق الدوده في جوف البحر,1,0,0,0
سبحان الله بحمده عدد خلقه رضى نفسه زنه عرشه مداد كلماته,1,0,0,0
سبحان الله خالق السماوات الارض,1,0,0,0
سبحان الله قادر على كل شىء,1,0,0,0
سبحان الله له فى خلقه شؤون,1,0,0,0
سبحان الله مالك السموات الارض,1,0,0,0
سبحان الله مواقف لها معنى قيمه فعلا تعلم ما شاء الله,1,0,0,0
سبحانك ربنا الواحد الاحد لا شريك لك تحيي تميت انت على كل شيء قدير صلى الله سلم على نبينا محمد على اله صحبه اجمعين,1,0,0,0
سبحانك ربي اني كنت من الضالمين,1,0,0,0
سبحانه يهدي من يشاء لا اله الا الله محمد رسول الله,1,0,0,0
ستجد مساعده الله وعونه لك عندما تكن النيه صادقه,1,0,0,0
ستضافتهم وعاملتهم معامله انسانيه ولم تحصرهم في مخيمات تفتقر لادنى مطلوبات الحياه مثل الاردن,1,0,0,0
سخافات وتخلف شباب وصبايا هل الايام,0,0,1,0
سخافه الشاميين ابدا ما ينفع لهم الكوميديا,0,0,0,1
سخافه بكل ماتحوي الكلمه من معنى,0,0,1,0
سخافه مالها حدود,0,0,1,0
سخيف مره يمسخرون الواحد ومافي شي يضحك اصلا,0,0,1,0
سخيفه قوووه,0,0,1,0
سعادتنا تكون بحسن الاستمتاع بالاشياء التي نحصل  عليها كما تكون بحسن الاستغناء عن الاشياء التي نُحرم منها,1,0,0,0
سلامٌ عليكم طبتم تُقال للطيبين عندما يساقون للجنه وهم من طابت اقوالهم وافعالهم في الدنيا . اللهم اجعلنا منهم..,1,0,0,0
سلطان القرف,0,0,1,0
سلمت امري ربي عالمين رغم البعد احس ان ربنا رح يكتب ويجمعنا ويكون نصيبي,1,0,0,0
سلمت سلمت يداك انها الاخلاق الكريمه التي علمنا اياها رسولنا الاعظم صلوات الله سلامه عليه اننا انشاء الله سنفعل ما بوسعنا حتى نرسم صوره راقيه جميله عن ديننا اخلاقنا الله المستعان,1,0,0,0
سلمت يداك روعه,1,0,0,0
سلمت يمناك كلام من ذهب,1,0,0,0
سلوا الله الجنه والحوا عليه في طلبها ييسر لكم اسباب دخولها فكل نعيم دونها شقاء وكل فوز دونها خسار فمن زحزح عن النار وادخل الجنه فقد فاز ,1,0,0,0
سماجه سماجه ووالله البنانيين دمهم ثقيل مره,0,0,0,1
سنبقى دائما معا نشاطر بَعضنا البعض مر الحياه وحلوها,1,0,0,0
سنبقى نذكر دوله الشهيد وصفي التل الذي كان رئيسا للوزراء حبيبا للفقراء,1,0,0,0
سوبر حمار والله هذا السوبر حما سبب في تخلفنا,0,0,1,0
سوبر سطار ولا بلاش,1,0,0,0
سوبر طقاع اول واحد جايته زبيريه,0,0,1,0
سوريا تعرضت لمؤامره والامر المحزن ان ولاد سوريا انزلقو فالمؤامره هاذي والشنيعه,0,1,0,0
سيئ جدا,0,0,1,0
شاهد تحرش جماعي بسيده تحمل طفلها على كورنيش,0,0,0,1
شباب صايع مو ملاقي ياكل مخه فاضي متخلف عقليا,0,0,1,0
شبابنا زي الورده بس بدهم حدا يدعمهم,1,0,0,0
شبابنا فيهم الخير بس بدهم حدا يرشدهم,1,0,0,0
شخصيه تافه,0,0,1,0
شردو اطفلها وقتلوا رجالها,0,0,0,1
شعب سخيف,0,0,0,1
شعب لا يحركه هذا الظلم التعدي على كرامته هو شعب لا يستحق الحياه,0,0,0,1
شعوب تافهه همها الحياه الدنيا فكروا في نهايتكم,0,0,0,1
شعور الانفصام تاع سنه خامسه كثير بخزي! اللي هو انك عملت كل شي ممكن ينعمل بالجامعه فزهقت وبدك تتخرج بس بنفس الوقت مش هاين عليك تترك الجامعه,1,0,0,0
شغل مشغول قرف يع,0,0,1,0
شفتها اقول وشذا الكيك,0,0,1,0
شكرا دكتور فكلماتك لها بالغ الاثر في نفوسنا,1,0,0,0
"شكرا لجميل اثراءك المعرفي، كلامك وسلاستك في ايصال المعلومه جميله للغايه",1,0,0,0
شكرا لك,1,0,0,0
شكرا للنجمه الراقيه كنزه اخبار النجوم,1,0,0,0
شكلك احول موب حوله,0,0,1,0
شكلك دايما متاخره عن المدرسه,0,0,1,0
شكلو عمرو ماشاف كاميرا تصورو,0,0,1,0
شنو السالفه يعني اتقارنون القران الكريم ويه نجوه كرم هاي العرمه لا الله الا الله,0,0,0,1
شو الاشي الي بيضحك ما ازنخك,0,0,1,0
شو الي جنني و نزلت ماده اثار الاردن,1,0,0,0
شو بالا يا دانيا المشكله مش عارفه تكتب هعهعه,0,0,1,0
شو عاجبك فيها مثلا ؟ لتكون سيارتكم,0,0,1,0
شو عادي يزم انتا ما عندك دم ونخوه يزم انتا مش بني ادم ترى ورح طير,0,0,1,0
شو نوع الحشيش ؟؟,0,0,0,1
شو هاد البرنامج معقول عرضوه على القنوات,0,0,1,0
شو هاض المنشور الوسخ,0,0,1,0
شو هالافكار الجهنميه,1,0,0,0
شو هالغباء فضحتنا,0,0,1,0
شو هالمنشور الوسخ,0,0,1,0
شو هل الاهبل,0,0,1,0
شو هيدا دلع اخر زمن,0,0,1,0
شو يعني بدك ايانا نحكي من وراكي مش حلوه,0,0,1,0
شوف شكلك بالاول بعدين احكي,0,0,1,0
شي مؤكد انك حمار,0,0,1,0
شيئ مؤسف الله يهديه,1,0,0,0
صادقه وفنانه من الزمن الجميل والفن اخلاق واحساسها يدرس,1,0,0,0
صار بدها بطاريه التقوى شحن,1,0,0,0
صار عناد وكره قله ادب بس ظلموها,0,0,1,0
صباح الابتسامه مرسومه على محياك ربي اجعل حياتي حياه احبتي نور على نور,1,0,0,0
صباح الاماني الجميله المحققه باذن الله,1,0,0,0
صباح الاماني المحققه باذن الله,1,0,0,0
صباح الامتحانات,1,0,0,0
صباح التفكر,1,0,0,0
صباح الحب من الله علينا جميعا,1,0,0,0
صباح الحريه والنصر,1,0,0,0
صباح الخير الاشراق الامل,1,0,0,0
صباح الخير لك ياشيخ لكم كلماتك دائما تشعرني بالامان والسكينه والرضي بما كتب الله,1,0,0,0
صباح الخير والسعاده لكم,1,0,0,0
صباح الخير والفل,1,0,0,0
صباح الخيرات والعبادات,1,0,0,0
صباح الدرب للجنه,1,0,0,0
صباح الدرب للجنه و بلبل شادي بفنه و ريحه الياس و الحنه,1,0,0,0
صباح الدرب للجنه وبلبل شادى بفنه وريحه الياس والحنه اقولها لكل احبابي اللهم اجعلنا ممن يتمتعون بروح وريحان وجنه النعيم من الرحمن,1,0,0,0
صباح الرحمه و البركات ان شاء الله,1,0,0,0
صباح الزنبق والفل والياسمين,1,0,0,0
صباح السعاده العامره,1,0,0,0
صباح العسل,1,0,0,0
صباح العفو والتسامح صباح الخير لوجه الخير,1,0,0,0
صباح الفل الورد يا شيخ سلمان عطر الله صباحك بذكره شكره حسن عبادته,1,0,0,0
صباح القشطه,1,0,0,0
صباح النور السرور الورد المنثور,1,0,0,0
صباح الهمه النشاط شيخنا الفاضل,1,0,0,0
صباح الوجه الصبوح,1,0,0,0
صباح الورد الجوري الحمر والخمري,1,0,0,0
صباح الورد لوجه طيبه,1,0,0,0
صباح الورد والفل,1,0,0,0
صباح الوفاء لك يا صديقي,1,0,0,0
صباح كل جميل في هذا الكون,1,0,0,0
صباح ملؤه الحب العرفان,1,0,0,0
صباح ملؤه الخيرات المسرات,1,0,0,0
صباح مملوء بالخير لجميع المسلمين يا رب,1,0,0,0
صباحات الانوار,1,0,0,0
صباحات العقول اليقظه الهمم الحييه المتوثبه,1,0,0,0
صباحات النقاء الابتسامات الصافيه من القلب,1,0,0,0
صباحك جمال روعه,1,0,0,0
صباحك خير يا دكتور سلمان,1,0,0,0
صباحك سعيد,1,0,0,0
صباحك طيب كطيب المسك العنبر,1,0,0,0
صباحك مبروك عدوك مهلوك,1,0,0,0
صباحك نور,1,0,0,0
صباحك ورد ياسمين معطرين بنسمات من الجنه يا شيخنا الجليل حفظك الله من كل سوء نحبك في الله,1,0,0,0
صباحكم امل مشرق عطا متجدد كما شروق الشمس,1,0,0,0
صباحكم تفائل,1,0,0,0
صباحكم سعاده وعباده مقبوله ان شاء الله,1,0,0,0
صباحكم ضحكه قلب يملاه الرضى اضحك ياحبيب الملايين,1,0,0,0
صباحكـم نقاء يشبه سيرتك,1,0,0,0
"صباحكم هلا و شوق و غلا ،، صباحكم نور و فرح و سرور،، صباحكم ذوق و قدركم فوق ،؛ صباحكم حب وسعاده",1,0,0,0
صبح يحكي للتلفزيون الاردني العقار في الاردن رخيص ! وجميل ... رخيص يعني بنقدر نملك شقه ب 10000,1,0,0,0
صبحك الله بالخير,1,0,0,0
صبحكم الله ياهل الطيب بالخير يسعد ضحاكم الظهر العشيه,1,0,0,0
صح الابتسامه تصنع السعاده,1,0,0,0
صح الصح كمان,1,0,0,0
صح علشان كده منكذبش ونرتاح,1,0,0,0
صح كلامك احلى حكمه محد يبقى للنهايه رغم اتفاق الطرفين,1,0,0,0
صح لسانك,1,0,0,0
صح يا اخي صدقت الله يعين الجميع,1,0,0,0
صحح الخبر مش تحرير المشتقات النفطيه انما توليعها,0,0,0,1
صحيح الابتسامه لها تعابير كثيره,1,0,0,0
صحيح انك سافل,0,0,1,0
صحيح كل هالشغله بس قرار وبظن كلنا قادرين ناخده اذا استعنا وتوكلنا الله,1,0,0,0
صدقت الله يا شيخ,1,0,0,0
صدقت والله انت تريد وانا اريد والله يفعل ما يريد,1,0,0,0
صدقت يا استاذ عمر,1,0,0,0
صدقت يا رب اجعلنا راضين بقدرك,1,0,0,0
صدقتي رائعه معبره الكلام,1,0,0,0
صراحه الاراده القناعه هيا الغنى الاكتفاء,1,0,0,0
صراحه بخزي من دون مجامله,0,0,1,0
صراع متصاعد للهيمنه على سوق الالمنيوم العالميه,1,0,0,0
صرفات تجعلك زوجه نكديه بجداره,0,0,1,0
صرماتي براس اهلك,0,0,0.5,0.5
صلوا علي من بكي شوقا لرؤيتنا,1,0,0,0
صوتك وحش,0,0,1,0
صوته مره منبح احسه تعبان عاد زبدوله مابقى الا يطلع بعد شوي,0,0,1,0
صوتها بعيرَ ومصدقه حالها,0,0,1,0
صور جميله,1,0,0,0
"صوره مليانه روح ، يعلم الله اني سعيد جدا فيها ففيها شباب حافظين لكتاب الله",1,0,0,0
ضحكت طفل بسمه امل ,1,0,0,0
ضع امنياتكم في سجده انساها وتاكد ان الله لن ينساها ابدا,1,0,0,0
ضيعت دقايق من عمري بمشاهده ازنخ اتفه شخص بالحياه الا هو اللي بالنص لا حتى بعرف اسمه,0,0,1,0
طالما انك تتوجه الى الله عز وجل باستمرار فلسوف يفتح عليك اكثر مما تتخيل,1,0,0,0
طبعا اكيد والف,1,0,0,0
طبعا محدش يقدر بس سبحان الله فيه ناس عايشين من غير مياه,1,0,0,0
طبعا واقع,1,0,0,0
طبيب عيون اردني يسجل اختراعا جديدا في روسيا. كل يوم انجاز اردني يسجل.  اﻻردن تكبر بابنائها ,1,0,0,0
طريق واحد عدم اليئس هو طريق النجاح,1,0,0,0
طلعوا العرب اخس واخس واخس,0,0,0,1
طموح الانسان يدفه لتحقيق اهدافه يا رت شببنا ما يقولن فات الوقت الله يوفق من يشاء,1,0,0,0
طول عمر بخاف ان امثالك يصبحوا مطربين,0,0,1,0
طول عمرك تخاف من الحب ,0,0,1,0
طيب الله انفاسك وياسلام لو الشباب او الشابات اذا احبو يحبون كجب شاه جاهان وممتاز محل,1,0,0,0
طيب انا عايزه اشوف القصر,1,0,0,0
طيب ليه السخريه دى ماكنا كويسين,1,0,0,0
ظني بالله جميل,1,0,0,0
عادي محنا اتعودنا على الرفع من يوم يومنا نحن ما بنعرف غير الرفع همه برفعو نحنا بندفع على حسابنا,0,0,0,1
عالم فاضيه بيسمو الغناء فن بيشغلو الناس,0,0,1,0
عاهات العرب الجرب,0,0,1,0
عاهات اللهم لاشماته,0,0,1,0
عاهات وعهد الله عاهات ايه اللي خلاهم يغنو دول,0,0,1,0
عاهاتك يا وطنعاهاتك يا وطن,0,0,1,0
عاهاتك يا وطني,0,0,1,0
عاهاتك ياعرب,0,0,1,0
عجبتنى الحلقه,1,0,0,0
عجل يا الله,1,0,0,0
عد دراسه قمنا بها تبين ان وضع خلايه شمسيه في صجراء الاردن والسعوده تكفي للاناره الارض كامله مدى الحياه,1,0,0,0
عدوله السامج هذا خرب اوم المقطع قسسم زباله هالادمي ودمه زززفت انا ضحكت,0,0,1,0
عذبت ام العود,0,0,1,0
عرب اغبياء,0,0,0,1
عــرب جـــرب,0,0,0,1
عشان هيك قال النبي صلى الله عليه وسلم ان الكذب يهدي الى الفجور والفجور يهدي الى النار,1,0,0,0
عطله 15 يوم وكمان اسبوع عطله و 20 دينار لكل طالب هاي مدرسه ولا شهر عسل,0,0,1,0
عظيم هو اسلامنا ,1,0,0,0
عفكره البيج هاد قرفني وقلب معدتي شو للاسف انتا انو عرفك انه هيك الوضع بتفتح بالفنجان يا ناس خفوا علينا الدين مش للايكات وكمنتات,0,0,1,0
على الاقل هناك رجل وفي لامراه احبها وهذا يسعدني,1,0,0,0
على فكره المعلقين هدول ولاد حرام,0,0,0.5,0.5
عليا النعمه ابدا لا هو ولا الخروف التاني,0,0,1,0
عليك بتقوى الله ان كنت غافلا,1,0,0,0
عليكم بالدعاء والتضرع لله سبحانه وتعالى ولا يرد القضاء اللا الدعاء اجتهدوا رحمكم الله,1,0,0,0
عمدا فيهم ما نستعمل التدفئه نلبس فروه,1,0,0,0
عمرتنا كانت مميزه جدا ورائعه,1,0,0,0
عمل السريره هو العمل الخالص لله اللهم ارزقنا عمل السريره,1,0,0,0
عن جد انتى ما شاء الله عليكى جزاكى الله كل خير,1,0,0,0
عنجد الكذب اكبر ورطه,1,0,0,0
عنجد انو باله,0,0,1,0
عنجد بخزي,0,0,1,0
عنجد بخزي شو هاد على حساب ازياء طلع باله,0,0,1,0
عنجد هذا الانسان تافه وحقير,0,0,1,0
عندك حق انت امل جميل مشرق,1,0,0,0
عندما يقدم طلاب على حرق الكتب المدرسيه والاضراب فنحن نعيش انتكاسه في التعليم بطلها المعلم الغير مبالي الذين اججوا وافتعلوا الازمه,1,0,0,0
"عندما يقول لك احد:  ابشرك فانك مباشره تفرح وتبتسم فكيف اذا كان القائل هو الله سبحانه وتعالى حين يقول : ""وبشر الصابرين""",1,0,0,0
عني كل يعلقو الا انا,1,0,0,0
عوام الشيعه بين ساذج ومغفل وجاهل ومتجاهل ولا يمكن لعاقل ان يظن ان عباده الله تكون بان تقضي حياتك بين لطم ولعن وتباكي,0,1,0,0
عيب عليك ماتستحي,0,0,1,0
عيب عليكوا تقارنوا وحده زى دى بالمصحف الى هوا كلام ربنا,0,0,1,0
عيب والله اسم المقطع,1,0,0,0
عيب يغني ده السادات وده ابن مره,0,0,1,0
عيش زي ما بدك ما ترد على حدا ابدا,1,0,0,0
عين العقل ربي,1,0,0,0
غباء في غباء لان نفس الحركه صارت في  يعني قلدنه البرنامج وبعد التصرفات اوووف,0,0,1,0
غبي الله يزيد غباك,0,0,1,0
غبي انتا اشي الصووووت هاد بتشبهو بجورج وسوف,0,0,1,0
غبي من جده,0,0,0,1
غرباء نحن حتي في احلامنا نعيش واقع ليس لنا فيه نصيب. .؟ نتمني اشياء كثيره لكن بدون ان نتحمل اي مسؤوليه. ....ننظر الى انفسنا فقط,1,0,0,0
غيب عن وجهي,0,0,0,1
فاجعل اللهم عوضي فيه,1,0,0,0
فاشل فاشله برنامج فاشل,0,0,1,0
فاشله من بيئه فاشله,0,0,1,0
فاشلين الى ما لا نهايه,0,0,1,0
فاضل قلمين نخلص,0,0,0,1
فاظفر بذات الدين تربت يداك,1,0,0,0
فاقد لكل معاني الاحساس,0,0,1,0
فالاول يصحح مساري الثاني يزيد من اصراري,1,0,0,0
فانا اناشد الحكومه الاردنيه بالافراج عن اسرى السلفيين التوحيدين الموجودين في سجونهم,1,0,0,0
